stage,tensor,count,bits,integer_bits,fraction_bits,step,mse_to_latent,max_abs_error_to_latent,saturation_count
ptq,conv1.weight,150,8,6,2,0.25,0.0049927907952430906,0.12387555837631226,0
ptq,conv2.weight,2400,8,6,2,0.25,0.0051354979865685275,0.12484073638916016,0
ptq,fc1.weight,30720,8,6,2,0.25,0.0028142603548739387,0.12496425956487656,0
ptq,fc2.weight,10080,8,6,2,0.25,0.004136241305436883,0.12494447827339172,0
ptq,fc3.weight,840,8,6,2,0.25,0.005736662849306382,0.12499330937862396,0
qat,conv1.weight,150,8,6,2,0.25,0.005125141706881074,0.1246924102306366,0
qat,conv2.weight,2400,8,6,2,0.25,0.005378461687020965,0.1249924898147583,0
qat,fc1.weight,30720,8,6,2,0.25,0.003108033314140001,0.12499985843896866,0
qat,fc2.weight,10080,8,6,2,0.25,0.004329970768974117,0.1249980479478836,0
qat,fc3.weight,840,8,6,2,0.25,0.005784205820714711,0.12499210238456726,0
