index,expected,prediction,logit_0,logit_1,logit_2,logit_3,logit_4,logit_5,logit_6,logit_7,logit_8,logit_9
0,0,3,-2.00097656,-0.447265625,-0.044921875,1.5,-0.924804688,0.893554688,-2.23144531,-0.875,-0.374023438,0.291992188
1,0,5,-1.4453125,-0.705078125,-0.03125,0.685546875,-0.474609375,0.86328125,-1.78222656,-0.116210938,-0.723632812,0.364257812
2,0,5,-1.5390625,-2.22949219,-1.35351562,0.48046875,-1.89648438,1.98242188,-3.41210938,0.599609375,0.336914062,1.4453125
3,0,3,-1.92675781,0.8515625,1.73242188,2.3671875,-5.07421875,1.73535156,-2.91503906,-2.53808594,-0.379882812,-2.05859375
4,0,9,-1.44140625,-1.625,-0.671875,1.07324219,-1.51757812,1.11523438,-3.30761719,0.655273438,-0.232421875,1.15722656
5,0,3,-1.87792969,-0.12890625,0.830078125,2.46777344,-3.47265625,1.3046875,-3.51171875,-0.857421875,-0.374023438,-0.455078125
6,0,8,1.73339844,-4.08203125,0.706054688,-2.29492188,-0.7265625,-2.25390625,0.797851562,-3.64257812,3.00488281,-2.375
7,0,8,1.58984375,-2.42871094,1.13574219,-1.64257812,-2.18945312,-1.9296875,0.044921875,-3.14160156,3.49609375,-2.71875
8,0,7,-1.02636719,-1.99316406,-1.39746094,0.786132812,-2.93261719,1.95019531,-4.24023438,2.74023438,-0.92578125,0.522460938
9,0,7,-1.55761719,-1.56054688,-0.486328125,1.59375,-2.97070312,1.18066406,-4.75292969,2.52246094,-0.891601562,0.44140625
10,0,3,-1.56835938,-0.245117188,0.76953125,1.76953125,-3.21289062,1.49609375,-2.83984375,-0.248046875,-0.625,-0.63671875
11,0,5,-0.689453125,-1.18261719,0.147460938,0.749023438,-1.89160156,1.42382812,-0.545898438,-0.756835938,0.140625,-0.314453125
12,0,5,-1.85644531,0.754882812,2.33105469,2.12304688,-6.30761719,2.58300781,-2.67871094,-2.62597656,-0.51171875,-2.62792969
13,0,3,-1.81933594,-0.674804688,-0.0625,1.06542969,-0.655273438,0.999023438,-1.95800781,-0.5078125,-0.583984375,0.365234375
14,0,3,-1.3984375,-0.809570312,0.151367188,0.96875,-0.790039062,0.94921875,-1.67382812,-0.385742188,-0.661132812,0.108398438
15,0,3,-1.04589844,-0.615234375,-0.04296875,1.03710938,-1.20703125,0.709960938,-1.95800781,0.233398438,-0.486328125,0.256835938
16,0,3,-1.57421875,-2.27246094,-0.561523438,1.79394531,-1.66210938,-0.352539062,-5.56738281,1.28808594,0.368164062,1.49023438
17,0,5,-0.790039062,-1.45703125,0.328125,0.811523438,-3.57519531,1.55175781,-2.75683594,1.35742188,0.0419921875,-0.56640625
18,0,3,-1.50683594,-0.143554688,0.899414062,2.18164062,-4.375,1.84375,-3.77539062,-0.974609375,-0.283203125,-0.711914062
19,0,5,-1.97265625,-1.18847656,0.28125,0.844726562,-0.595703125,0.961914062,-1.80566406,-0.620117188,-0.533203125,0.0576171875
20,0,5,-1.14160156,-1.15625,-0.703125,0.65625,-1.92382812,1.73828125,-2.24121094,0.798828125,-0.487304688,0.288085938
21,0,2,-1.4375,0.78515625,2.30761719,2.04394531,-6.01855469,1.95019531,-2.77441406,-2.34960938,-0.290039062,-2.5859375
22,0,3,-1.90332031,-0.854492188,0.23828125,1.38183594,-0.796875,0.668945312,-2.44335938,-0.439453125,-0.4453125,0.233398438
23,0,3,-1.96875,-0.231445312,-0.21484375,1.39941406,-1.09179688,0.975585938,-1.95019531,-1.09667969,-0.0556640625,0.254882812
24,0,5,-0.450195312,-1.46484375,0.618164062,0.982421875,-2.06640625,1.31054688,0.083984375,-1.28125,0.0849609375,-0.958984375
25,0,5,-1.09667969,-0.946289062,-0.033203125,0.946289062,-1.29589844,1.01757812,-1.67480469,0.037109375,-0.497070312,0.20703125
26,0,3,-1.50195312,-1.08007812,-0.288085938,1.4375,-2.26367188,1.41601562,-2.94628906,0.310546875,-0.491210938,0.55078125
27,0,7,-1.14355469,-1.43457031,-0.568359375,0.94140625,-2.63671875,1.50195312,-3.30273438,1.52148438,-0.586914062,0.578125
28,0,3,-1.50976562,-0.538085938,0.211914062,0.90234375,-0.591796875,0.5625,-1.8046875,-0.134765625,-0.5234375,0.143554688
29,0,3,-1.87109375,-1.00097656,0.284179688,1.22167969,-0.844726562,0.90625,-2.10449219,-0.40625,-0.640625,0.0361328125
30,0,8,2.22363281,-3.23632812,0.462890625,-3.7421875,-0.989257812,-2.1328125,1.54199219,-3.68359375,4.23730469,-3.11523438
31,0,9,-1.7109375,-1.64355469,-0.861328125,-0.21875,-0.120117188,0.532226562,-2.37304688,-0.712890625,0.732421875,1.3046875
32,0,3,-1.92578125,-0.830078125,0.208984375,1.39550781,-0.805664062,0.876953125,-2.17675781,-0.731445312,-0.510742188,0.130859375
33,0,3,-1.62792969,-2.05273438,-0.26171875,1.93457031,-3.58398438,1.87890625,-3.74902344,0.270507812,0.04296875,0.802734375
34,0,5,-1.45507812,-2.35839844,-1.69824219,0.458007812,-1.70996094,1.6328125,-4.18261719,0.850585938,0.610351562,1.61132812
35,0,3,-1.89746094,-0.590820312,-0.044921875,1.34277344,-0.858398438,1.04785156,-2.09960938,-0.665039062,-0.611328125,0.258789062
36,0,8,0.1484375,-1.72167969,1.19726562,-0.237304688,-3.02832031,-0.2265625,0.330078125,-4.24414062,2.58105469,-2.72460938
37,0,5,-1.45898438,-2.17089844,-1.53515625,0.198242188,-1.49316406,1.65332031,-3.98828125,1.046875,0.372070312,1.57519531
38,0,8,2.74023438,-4.37402344,0.666015625,-2.94921875,-2.16601562,-2.38378906,-1.54980469,-1.81347656,4.88183594,-1.93164062
39,0,8,2.60058594,-4.35644531,1.44726562,-2.48730469,-1.91015625,-3.20800781,-0.169921875,-3.65917969,4.09375,-3.06445312
40,0,3,-1.81640625,-0.620117188,-0.0166015625,1.328125,-0.84375,0.948242188,-2.14453125,-0.572265625,-0.541015625,0.293945312
41,0,3,-1.60449219,-1.62109375,-0.133789062,1.27050781,-0.65625,-0.029296875,-2.63476562,-1.03027344,0.934570312,0.630859375
42,0,3,-1.96289062,-0.844726562,-0.14453125,1.18554688,-0.51953125,0.978515625,-2.41308594,-0.46875,-0.712890625,0.561523438
43,0,3,-1.34277344,-0.708007812,0.576171875,1.53808594,-1.45703125,-0.1953125,-2.69042969,0.1015625,0.36328125,0.11328125
44,0,8,1.46582031,-1.90527344,-0.908203125,-3.4296875,-1.04003906,-1.17382812,0.159179688,-2.11621094,4.12890625,-1.58496094
45,0,3,-1.328125,-1.69335938,0.116210938,2.265625,-3.8515625,1.01757812,-4.61132812,1.54296875,-0.388671875,0.271484375
46,0,5,-1.43652344,-0.83203125,0.334960938,1.59765625,-2.91113281,1.68554688,-2.49316406,-2.60839844,0.897460938,-0.21484375
47,0,3,-1.72949219,-1.50195312,0.099609375,2.28027344,-3.45019531,1.27539062,-4.18261719,0.899414062,-0.403320312,0.374023438
48,0,3,-1.70703125,-0.58984375,0.197265625,2.09863281,-2.15039062,0.73046875,-3.14160156,-0.325195312,-0.130859375,0.217773438
49,0,8,2.10839844,-3.84765625,1.30273438,-2.51367188,-1.56445312,-3.57714844,0.1015625,-3.98632812,4.72949219,-3.46289062
50,1,3,-2.45605469,0.262695312,0.262695312,2.0390625,-2.1171875,0.936523438,-2.25683594,-2.05078125,0.274414062,-0.43359375
51,1,8,0.2578125,-3.39257812,1.14257812,0.05078125,-0.646484375,-3.04101562,-1.77441406,-2.79882812,2.234375,-1.625
52,1,8,-1.34765625,-1.13085938,-0.021484375,-0.41796875,-1.27148438,0.424804688,0.244140625,-2.67480469,2.61816406,-1.08496094
53,1,8,2.50585938,-4.63964844,1.34960938,-2.70410156,-1.14355469,-3.96777344,-0.39453125,-3.60546875,3.97753906,-2.92578125
54,1,3,-1.44824219,-2.1484375,-0.331054688,2.80859375,-4.98242188,1.70703125,-5.32324219,1.39453125,-0.380859375,0.403320312
55,1,5,-2.08789062,-0.0517578125,0.264648438,0.627929688,-0.84765625,0.813476562,-1.53417969,-0.463867188,-0.795898438,-0.487304688
56,1,8,2.5,-4.38867188,0.744140625,-3.18359375,-1.27050781,-2.87207031,-0.685546875,-2.81347656,4.35546875,-2.04296875
57,1,3,-2.10351562,-0.140625,0.166015625,1.04394531,-0.783203125,0.739257812,-2.02832031,-0.422851562,-0.607421875,-0.276367188
58,1,3,-2.51171875,0.393554688,0.225585938,2.02246094,-1.37011719,0.0830078125,-3.3203125,-1.08007812,-0.0615234375,0.385742188
