index,expected,prediction,logit_0,logit_1,logit_2,logit_3,logit_4,logit_5,logit_6,logit_7,logit_8,logit_9
0,0,3,-2.00048804,-0.452289253,-0.0433420837,1.50309956,-0.926752627,0.889986992,-2.23422217,-0.871662319,-0.367841691,0.292055994
1,0,5,-1.44307029,-0.708750784,-0.0343024619,0.684724092,-0.47497952,0.864962518,-1.77726126,-0.115956835,-0.720244706,0.366707355
2,0,5,-1.53405726,-2.23399115,-1.35682392,0.475331038,-1.89849234,1.98653436,-3.40767527,0.604092181,0.341670692,1.4525162
3,0,3,-1.92892373,0.844017804,1.72905433,2.36677289,-5.0673852,1.73861861,-2.90657401,-2.54440761,-0.373390436,-2.05230451
4,0,9,-1.43850303,-1.62551773,-0.669533134,1.0728693,-1.51931262,1.11319971,-3.30232978,0.654894114,-0.224561676,1.15944624
5,0,3,-1.87760735,-0.135241672,0.826634705,2.47123337,-3.47207069,1.30548275,-3.5120697,-0.856703341,-0.366383255,-0.448380649
6,0,8,1.72976816,-4.08291721,0.71194756,-2.28429675,-0.72488451,-2.25719023,0.809994459,-3.64892578,3.00609493,-2.37436795
7,0,8,1.58841527,-2.42891145,1.14116728,-1.63611877,-2.18952656,-1.93168688,0.0503288358,-3.14818835,3.49692822,-2.71265817
8,0,7,-1.02543604,-1.99924755,-1.4018774,0.78327775,-2.93045688,1.94677067,-4.24304771,2.74673223,-0.917841196,0.53599298
9,0,7,-1.55241585,-1.56261563,-0.491484761,1.58732903,-2.97011781,1.18465686,-4.74246979,2.51940036,-0.88120389,0.448234141
10,0,3,-1.56657875,-0.249719948,0.767082691,1.77115667,-3.21424627,1.49719357,-2.84092045,-0.246625096,-0.619587958,-0.630550086
11,0,5,-0.689213812,-1.18501449,0.146335557,0.750282645,-1.89331365,1.42273974,-0.553871572,-0.751332819,0.142210588,-0.308288366
12,0,5,-1.85626101,0.745356679,2.33214593,2.12913084,-6.30658293,2.58071685,-2.67932868,-2.62607718,-0.505140185,-2.62245321
13,0,3,-1.81819797,-0.679237723,-0.0594902858,1.06706393,-0.654062331,0.997033298,-1.95493925,-0.50828135,-0.577901125,0.363518715
14,0,3,-1.3989085,-0.813074768,0.148787826,0.969570041,-0.789391041,0.949830234,-1.67424405,-0.384466082,-0.657173395,0.11118678
15,0,3,-1.04720855,-0.61880213,-0.0466892645,1.0368855,-1.2045548,0.709555387,-1.95952415,0.233478203,-0.482537419,0.26364705
16,0,3,-1.57553685,-2.27457857,-0.562761545,1.79596806,-1.66198277,-0.353164256,-5.57284403,1.29113436,0.379407167,1.50145435
17,0,5,-0.785977781,-1.46108758,0.325949341,0.810986638,-3.57459903,1.55201995,-2.75523615,1.35618949,0.047686886,-0.556373477
18,0,3,-1.50764656,-0.152559832,0.895280361,2.18524742,-4.37890911,1.84864712,-3.77392793,-0.975188255,-0.277147621,-0.70457989
19,0,5,-1.97184706,-1.19372094,0.284588158,0.848791718,-0.596676469,0.96027261,-1.80576026,-0.619345963,-0.527333558,0.0576740354
20,0,5,-1.13700807,-1.1612649,-0.705626786,0.652204156,-1.92315888,1.73724198,-2.23944354,0.801697016,-0.482581705,0.292862892
21,0,2,-1.43859839,0.776831329,2.30492425,2.04482746,-6.01557112,1.95488274,-2.76612163,-2.35738373,-0.283731878,-2.57770276
22,0,3,-1.9028039,-0.858688533,0.239393353,1.38363433,-0.796526492,0.663783073,-2.44839525,-0.436285168,-0.438468426,0.238222137
23,0,3,-1.96734881,-0.238151133,-0.217879236,1.4022876,-1.09335494,0.974779844,-1.95192087,-1.09506953,-0.0489701629,0.258826941
24,0,5,-0.449898601,-1.46785879,0.618400216,0.985882044,-2.06793046,1.30920148,0.0785526112,-1.27763975,0.0870736837,-0.954749465
25,0,5,-1.09473896,-0.947128654,-0.0377041213,0.943711162,-1.29370785,1.01749229,-1.67458534,0.0401863158,-0.495263636,0.213083759
26,0,3,-1.49936235,-1.08338225,-0.292688429,1.43472934,-2.26109529,1.41759896,-2.94545126,0.311772317,-0.488607854,0.557017207
27,0,7,-1.14027452,-1.43982458,-0.572651327,0.94080317,-2.63926673,1.50498629,-3.30316019,1.52050471,-0.581189156,0.586998761
28,0,3,-1.5076642,-0.541942656,0.21257478,0.901610255,-0.590848863,0.560745358,-1.80190694,-0.134892359,-0.517912865,0.145347461
29,0,3,-1.86893058,-1.00054753,0.285912812,1.22287416,-0.843016803,0.900822163,-2.10517144,-0.400523931,-0.635642827,0.0374167487
30,0,8,2.21990323,-3.23741126,0.466020256,-3.73620939,-0.98978591,-2.13353467,1.55312502,-3.69162536,4.23740959,-3.1100421
31,0,9,-1.70900559,-1.64782226,-0.859363317,-0.219932944,-0.122174837,0.533609927,-2.366117,-0.715710104,0.739584684,1.3079046
32,0,3,-1.92624593,-0.834336102,0.208439171,1.39499748,-0.8021788,0.873914242,-2.1764853,-0.729447007,-0.503705144,0.132838145
33,0,3,-1.62156105,-2.05611038,-0.260988981,1.93427801,-3.58956552,1.87744522,-3.74762106,0.276308149,0.0494347252,0.806480169
34,0,5,-1.4552505,-2.36399436,-1.70880497,0.454233199,-1.70770669,1.64165986,-4.17978716,0.849012613,0.619044483,1.62295866
35,0,3,-1.89560115,-0.596190214,-0.0461224318,1.34290648,-0.855830073,1.04697597,-2.09697914,-0.664031088,-0.605595291,0.259982765
36,0,8,0.146176249,-1.72347784,1.20624995,-0.230945528,-3.02529311,-0.234858975,0.328056723,-4.24251223,2.58486986,-2.72329235
37,0,5,-1.45463932,-2.17476344,-1.54156578,0.1936647,-1.49586558,1.66093373,-3.98194098,1.04579663,0.380286425,1.58282351
38,0,8,2.73995948,-4.37048721,0.675635934,-2.93761349,-2.16968656,-2.38508439,-1.54442334,-1.81795216,4.88541317,-1.92815697
39,0,8,2.600003,-4.35732269,1.45548201,-2.47632122,-1.91091156,-3.21408105,-0.163247854,-3.66104555,4.09645987,-3.06079435
40,0,3,-1.8157202,-0.625706136,-0.0165978409,1.33000731,-0.842397213,0.94742322,-2.14464021,-0.572099626,-0.534726858,0.294574022
41,0,3,-1.60031378,-1.61605275,-0.122522481,1.27340591,-0.661950827,-0.0329208672,-2.62335443,-1.02775466,0.938572705,0.619631946
42,0,3,-1.96137881,-0.851304054,-0.146527678,1.18519723,-0.519659877,0.979317307,-2.41121221,-0.466852218,-0.70811224,0.564931273
43,0,3,-1.3415879,-0.704242289,0.575680435,1.53899753,-1.45702553,-0.196941152,-2.68591928,0.100173093,0.370842576,0.114036411
44,0,8,1.46687627,-1.90369368,-0.903181732,-3.41823459,-1.04705882,-1.17140841,0.16618526,-2.12198186,4.1279726,-1.5810008
45,0,3,-1.32596111,-1.69505262,0.111295141,2.2615273,-3.84933376,1.01972449,-4.60528517,1.54348636,-0.38132751,0.281674147
46,0,5,-1.43169475,-0.83624208,0.336431175,1.59388447,-2.91433144,1.68666124,-2.49150777,-2.60301042,0.901586175,-0.211687624
47,0,3,-1.72537768,-1.5051434,0.0931903943,2.27392864,-3.44764709,1.27851808,-4.17651463,0.900669873,-0.397411019,0.383235127
48,0,3,-1.7070775,-0.596694112,0.189653993,2.09521937,-2.15131187,0.742600083,-3.1279819,-0.332943261,-0.121867821,0.223905563
49,0,8,2.11060095,-3.84975505,1.31411147,-2.50425196,-1.56432295,-3.58498192,0.107245639,-3.98986173,4.73096514,-3.46003127
50,1,3,-2.45735669,0.254797161,0.263425946,2.04310465,-2.11718702,0.93633312,-2.25361776,-2.05095625,0.279826432,-0.432509899
51,1,8,0.254212111,-3.38976097,1.14921749,0.055438295,-0.646945417,-3.03771758,-1.75585532,-2.80411386,2.24156332,-1.63012922
52,1,8,-1.34585774,-1.13581181,-0.0212998465,-0.417810291,-1.27167368,0.427609921,0.249079868,-2.67923403,2.6233685,-1.0800972
53,1,8,2.50510526,-4.63966036,1.358549,-2.69208479,-1.14675736,-3.97216535,-0.386207938,-3.60942864,3.98340082,-2.92279243
54,1,3,-1.44689882,-2.15244293,-0.337760538,2.80677295,-4.98288727,1.71215045,-5.31836271,1.39555109,-0.371844441,0.415639222
55,1,5,-2.08979201,-0.0571459346,0.266749144,0.634277105,-0.848496974,0.8099702,-1.53736389,-0.463824779,-0.789666235,-0.483096331
56,1,8,2.50042176,-4.38610411,0.753184557,-3.17375493,-1.27310801,-2.87425327,-0.682020843,-2.8164773,4.36165333,-2.04016495
57,1,3,-2.10344362,-0.146199316,0.168466032,1.04539728,-0.783923268,0.739495933,-2.02166128,-0.426024675,-0.601466358,-0.276854187
58,1,3,-2.51243186,0.385525376,0.224008054,2.02771521,-1.37069464,0.0835525542,-3.31601739,-1.08246875,-0.052414529,0.388556927
59,1,8,-0.513172209,-1.89437866,0.593937993,0.87690413,-0.962415695,-2.32613635,-2.39283752,-2.09627223,2.81955695,-0.846315265
60,1,8,-0.774090827,-1.16295826,0.389407754,0.631152868,-1.34443021,-0.637938559,-1.48730791,-1.90561914,2.32181501,-0.836436033
61,1,3,-1.94876122,-0.219353199,0.0591135807,1.58918738,-1.6416688,0.921650827,-2.40712023,-0.425791234,-0.255801111,0.0637058169
62,1,5,-2.55359149,0.723845243,0.46023044,0.789308548,-1.89876533,1.38049424,-0.929095089,-2.03631926,-0.684436381,-1.2573843
63,1,3,-1.96630371,0.0933474824,0.130114466,0.818750858,-0.79596746,0.626961291,-1.71339452,-0.580438614,-0.169626281,-0.266886353
64,1,3,-2.18798804,0.0691952929,0.924681485,2.45838356,-4.03816223,1.62818062,-3.74774432,-0.694133461,-0.353092045,-0.697795153
65,1,3,-1.28007352,-0.49503082,-0.0343753397,1.44025528,-1.67666554,0.552541912,-2.61665726,0.632689953,-0.36296156,0.118541948
66,1,7,-1.82513404,-1.87306547,-1.34915495,1.06174672,-1.66826057,0.958994508,-4.84744167,2.45355248,-0.502038658,1.30338681
67,1,3,-2.9664166,0.223013923,0.335442871,2.44445157,-2.35422945,0.793660522,-3.09244943,-2.2476244,0.71990943,-0.370935321
68,1,9,-1.61210537,-1.07298362,-0.519507051,-0.0664412975,-0.167547882,0.170631886,-2.2136929,-0.224323988,0.351885259,1.02856433
69,1,7,-0.841604471,-2.12429428,-1.63857007,0.319456935,-4.02717257,2.70589137,-4.47384453,3.77539897,-1.14084351,0.00935217924
70,1,3,-1.83105326,-1.63329566,0.0937767923,2.60818791,-4.30200958,1.29138577,-4.78749752,1.13441277,-0.107669912,0.278663158
71,1,7,-1.28225708,-1.61106634,-0.38013339,1.52486968,-3.51683307,1.4468751,-4.30586672,1.94299936,-0.542301178,0.506308734
72,1,7,-1.6941632,-1.48191011,-0.721283913,1.50283062,-2.60100293,1.1201396,-4.69045544,2.37170553,-0.820545852,0.689690232
73,1,3,-2.06200004,-0.348015636,-0.310495138,0.85949862,-0.54058069,0.386062145,-2.31531715,-0.267002165,-0.381822944,0.440004736
74,1,8,-0.982257962,-1.57755423,0.190326422,0.752604246,-2.47752428,0.470644355,-1.66997027,-2.14242363,2.72487903,-0.627923548
